,company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
203,Innovaccer,Data Ops Engineer-I,3.4,Noida,949971.0,1001 to 5000 Employees,2014,Private,Healthcare Services & Hospitals,Healthcare,3.6,3.6,3.4,3.2,3.1
204,NovoTree Minds Consulting,Data Engineer,5.0,Bengaluru,548635.0,1 to 50 Employees,2010,Private,HR Consulting,Human Resources & Staffing,5.0,4.9,4.9,4.9,5.0
205,Millennium,Data Download/Extraction Engineer (Commodities),4.7,Bengaluru,743371.0,5001 to 10000 Employees,1989,Private,Investment & Asset Management,Finance,4.8,4.8,5.0,5.0,5.0
206,Flipkart,Data Engineer II,3.9,Bengaluru,687410.0,10000+ Employees,2007,Private,Internet & Web Services,Information Technology,3.9,3.6,3.8,3.5,3.4
207,CoinDCX,Data Engineer,4.1,Bengaluru,385400.0,201 to 500 Employees,2018,Private,Investment & Asset Management,Finance,4.0,4.1,4.1,3.8,4.0
208,Iron Mountain,Data Analyst,3.7,Bengaluru,614010.0,10000+ Employees,1951,Public,Information Technology Support Services,Information Technology,3.3,3.5,3.5,3.3,3.6
209,The Stakeholder Company Pte. Ltd.,Customer Solutions Engineer - Data,4.0,Mumbai,393700.0,51 to 200 Employees,--,Private,--,--,3.7,3.4,4.3,4.0,3.8
210,Visa,Data Scientist,4.1,Bengaluru,324000.0,10000+ Employees,1958,Public,Information Technology Support Services,Information Technology,3.8,4.0,4.1,3.7,4.0
211,Globussoft Technologies,Data Science,4.4,India,360000.0,201 to 500 Employees,2009,Private,Computer Hardware Development,Information Technology,4.5,4.0,4.1,4.2,4.1
212,Infosys,Big Data Developer,3.8,Bengaluru,443530.0,10000+ Employees,1981,Public,Information Technology Support Services,Information Technology,3.8,3.0,4.0,3.5,3.7
213,Empower,Sr Analyst Data Science,3.9,Bengaluru,394308.0,10000+ Employees,1907,Private,Investment & Asset Management,Finance,3.9,3.6,3.9,3.6,4.0
214,Zebra Technologies,"Data Scientist, II",4.1,Bengaluru,720134.0,5001 to 10000 Employees,1969,Public,Computer Hardware Development,Information Technology,3.8,3.8,4.1,3.8,4.0
215,ZS Associates,Advanced Data Science Associate,3.7,Gurgaon,624732.0,10000+ Employees,1983,Private,Business Consulting,Management & Consulting,3.9,4.0,3.9,3.5,2.4
216,Myntra.com,Senior Manager - Data Analyst,4.0,Bengaluru,742967.0,1001 to 5000 Employees,2007,Private,Internet & Web Services,Information Technology,3.8,3.7,4.0,3.5,3.5
